Shipment No.,Status,Direction,Product,Shipment Type,Product Type,Oper. Year,Oper. Period,Shipment Week,Shipment Day,Shipment Date,Principal,Carrier,Incoterm,Shipper Postcode,Shipper City,Shipper Country,Consignee Postcode,Consignee City,Consignee Country,Invoiced,Insurance,Letter Of Credit,Dangerous,Pieces,Actual Weight (kg),Volume (cbm),Charg. Weight (kg),W/M,FCL TEU,GP (EUR),Weight Group,Tracking Number,(Air)Port of Origin,Origin Country,(Air)Port of Destination,Destination Country,MS1 Count,MS2 Count,MS3 Count,MS4 Count,MS5 Count,MS6 Count
1000014,Active,Import,Airfreight,Direct,Prime,2021,202112,2021/52,20211230,30.12.2021,Customer 14,BVA - BEURTVAARTADRES,EXW,.,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0.000,0,-,-,510.77,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
1000015,Active,Export,Airfreight,Master,Prime,2021,202112,2021/52,20211230,30.12.2021,Customer 15,LX - SWISS INTERNATIONAL AIRLINES LTD,CIF,-,DUBAI,AE - UNITED ARAB EMIRATES,13587,BERLIN,DE - GERMANY,Yes,N,N,N,0,"6,525",4.098,"6,525",-,-,0.00,5000,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,ZRH-ZURICH,CH-SWITZERLAND,0,0,0,0,0,0
1000016,Active,Import,Airfreight,Direct,Prime,2021,202112,2021/52,20211229,29.12.2021,Customer 16,SV - SAUDI ARABIAN AIRLINES,FOB,315000,NINGBO,CN - CHINA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0.000,0,-,-,"-1,018.18",1,-,PVG-SHANGHAI,CN-CHINA,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000017,Active,Import,Airfreight,Consol,Consolidation,2021,202112,2021/51,20211220,20.12.2021,Customer 17,AF - AIR FRANCE,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,271,1.104,271,-,-,59.88,250,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
1000018,Active,Import,Airfreight,Direct,Prime,2021,202112,2021/50,20211215,15.12.2021,Customer 14,BVA - BEURTVAARTADRES,EXW,.,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0.000,0,-,-,526.80,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
1000019,Active,Export,Airfreight,Master,Economy,2021,202112,2021/50,20211215,15.12.2021,Customer 18,TK - TURKISH AIRLINES,CIF,-,DUBAI,AE - UNITED ARAB EMIRATES,20090,SEGRATE,IT - ITALY,Yes,N,N,N,0,"4,732",51.352,"8,559",-,-,0.00,5000,-,DWC-DUBAI,AE-UNITED ARAB EMIRATES,MXP-MILAN,IT-ITALY,0,0,0,0,0,0
1000020,Active,Export,Airfreight,Direct,Economy,2021,202112,2021/49,20211211,11.12.2021,Customer 19,EK - EMIRATES AIRLINES,CFR,0000,DUBAI,AE - UNITED ARAB EMIRATES,.,LUANDA,AO - ANGOLA,Yes,N,N,N,1,18,0.384,64,-,-,3.42,45,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,LAD-LUANDA,AO-ANGOLA,1,1,1,1,0,0
1000021,Active,Export,Airfreight,B-to-B,Back-to-Back,2021,202111,2021/46,20211115,15.11.2021,Customer 20,KL - KLM - ROYAL DUTCH AIRLINES,DDP,-,BUBAI,AE - UNITED ARAB EMIRATES,2288 EW,RIJSWIJK ZH,NL - THE NETHERLANDS,Yes,N,N,N,1,27,0.085,27,-,-,627.90,25,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,AMS-AMSTERDAM,NL-NETHERLANDS,1,1,1,1,0,0
1000022,Active,Import,Airfreight,Consol,Consolidation,2021,202111,2021/45,20211108,08.11.2021,Customer 17,EY - ETIHAD CRYSTAL CARGO,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,223,0.979,223,-,-,58.06,100,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
1000023,Active,Export,Airfreight,B-to-B,Back-to-Back,2021,202108,2021/34,20210827,27.08.2021,Customer 21,KL - KLM - ROYAL DUTCH AIRLINES,CPT,.,DUBAI MARINA,AE - UNITED ARAB EMIRATES,2594 AC,'S-GRAVENHAGE,NL - THE NETHERLANDS,Yes,N,N,N,1,105,0.654,109,-,-,289.01,100,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,AMS-AMSTERDAM,NL-NETHERLANDS,1,1,1,1,0,0
1000024,Active,Import,Airfreight,Consol,Consolidation,2021,202108,2021/34,20210825,25.08.2021,Customer 17,QY - DHL AVIATION N.V.,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,115,0.336,115,-,-,94.37,100,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
1000025,Active,Import,Airfreight,Direct,Prime,2021,202108,2021/32,20210809,09.08.2021,Customer 22,BVA - BEURTVAARTADRES,EXW,24050,GRASSOBBIO,IT - ITALY,-,SHARJAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,2,0.000,2,-,-,47.03,1,-,MIL-MILANO,IT-ITALY,SHJ-SHARJAH,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
