,ShipmentNo_,Status,Direction,Product,ShipmentType,ProductType,Oper_Year,Oper_Period,ShipmentWeek,ShipmentDay,ShipmentDate,Principal,Carrier,Incoterm,ShipperPostcode,ShipperCity,ShipperCountry,ConsigneePostcode,ConsigneeCity,ConsigneeCountry,Invoiced,Insurance,LetterOfCredit,Dangerous,Pieces,ActualWeight(kg),Volume(cbm),Charg_Weight(kg),W/M,FCLTEU,GP(EUR),WeightGroup,TrackingNumber,(Air)PortofOrigin,OriginCountry,(Air)PortofDestination,DestinationCountry,MS1Count,MS2Count,MS3Count,MS4Count,MS5Count,MS6Count
0,1000014,1,1,3,Direct,Prime,2021,202112,2021/52,00:00.0,30.12.2021,Customer 14,BVA - BEURTVAARTADRES,EXW,.,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0,0,-,-,510.77,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
1,1000015,1,0,3,Master,Prime,2021,202112,2021/52,00:00.0,30.12.2021,Customer 15,LX - SWISS INTERNATIONAL AIRLINES LTD,CIF,-,DUBAI,AE - UNITED ARAB EMIRATES,13587,BERLIN,DE - GERMANY,Yes,N,N,N,0,"6,525",4.098,"6,525",-,-,0,5000,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,ZRH-ZURICH,CH-SWITZERLAND,0,0,0,0,0,0
2,1000016,1,1,3,Direct,Prime,2021,202112,2021/52,00:00.0,29.12.2021,Customer 16,SV - SAUDI ARABIAN AIRLINES,FOB,315000,NINGBO,CN - CHINA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0,0,-,-,"-1,018.18",1,-,PVG-SHANGHAI,CN-CHINA,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
3,1000017,1,1,3,Consol,Consolidation,2021,202112,2021/51,00:00.0,20.12.2021,Customer 17,AF - AIR FRANCE,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,271,1.104,271,-,-,59.88,250,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
4,1000018,1,1,3,Direct,Prime,2021,202112,2021/50,00:00.0,15.12.2021,Customer 14,BVA - BEURTVAARTADRES,EXW,.,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0,0,-,-,526.8,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
5,1000019,1,0,3,Master,Economy,2021,202112,2021/50,00:00.0,15.12.2021,Customer 18,TK - TURKISH AIRLINES,CIF,-,DUBAI,AE - UNITED ARAB EMIRATES,20090,SEGRATE,IT - ITALY,Yes,N,N,N,0,"4,732",51.352,"8,559",-,-,0,5000,-,DWC-DUBAI,AE-UNITED ARAB EMIRATES,MXP-MILAN,IT-ITALY,0,0,0,0,0,0
6,1000020,1,0,3,Direct,Economy,2021,202112,2021/49,00:00.0,11.12.2021,Customer 19,EK - EMIRATES AIRLINES,CFR,0,DUBAI,AE - UNITED ARAB EMIRATES,.,LUANDA,AO - ANGOLA,Yes,N,N,N,1,18,0.384,64,-,-,3.42,45,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,LAD-LUANDA,AO-ANGOLA,1,1,1,1,0,0
7,1000021,1,0,3,B-to-B,Back-to-Back,2021,202111,2021/46,00:00.0,15.11.2021,Customer 20,KL - KLM - ROYAL DUTCH AIRLINES,DDP,-,BUBAI,AE - UNITED ARAB EMIRATES,2288 EW,RIJSWIJK ZH,NL - THE NETHERLANDS,Yes,N,N,N,1,27,0.085,27,-,-,627.9,25,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,AMS-AMSTERDAM,NL-NETHERLANDS,1,1,1,1,0,0
8,1000022,1,1,3,Consol,Consolidation,2021,202111,2021/45,00:00.0,08.11.2021,Customer 17,EY - ETIHAD CRYSTAL CARGO,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,223,0.979,223,-,-,58.06,100,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
9,1000023,1,0,3,B-to-B,Back-to-Back,2021,202108,2021/34,00:00.0,27.08.2021,Customer 21,KL - KLM - ROYAL DUTCH AIRLINES,CPT,.,DUBAI MARINA,AE - UNITED ARAB EMIRATES,2594 AC,'S-GRAVENHAGE,NL - THE NETHERLANDS,Yes,N,N,N,1,105,0.654,109,-,-,289.01,100,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,AMS-AMSTERDAM,NL-NETHERLANDS,1,1,1,1,0,0
